Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,Maori Small to Medium Enterprises,Counts,42,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,All New Zealand Businesses,Counts,5244,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,Maori Small to Medium Enterprises,Counts,24,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,426,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,6,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,All New Zealand Businesses,Counts,2613,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,6,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,All New Zealand Businesses,Counts,7665,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,36,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,All New Zealand Businesses,Counts,1158,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,12,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,All New Zealand Businesses,Counts,11013,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,63,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Mining,All New Zealand Businesses,Counts,246,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Mining,Maori Small to Medium Enterprises,Counts,0,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Other services,All New Zealand Businesses,Counts,11766,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Other services,Maori Small to Medium Enterprises,Counts,30,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,14715,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,51,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,All New Zealand Businesses,Counts,561,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,3,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,5241,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,15,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,21,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,All New Zealand Businesses,Counts,13737,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,Maori Small to Medium Enterprises,Counts,30,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,All New Zealand Businesses,Counts,145839,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Small to Medium Enterprises,Counts,513,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Tourism,Counts,264,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,4629,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,21,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,21,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,All New Zealand Businesses,Counts,8049,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,21,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,All New Zealand Businesses,Counts,12315,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,39,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Tourism,Counts,66,2014,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,All New Zealand Businesses,Counts,5223,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,33,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Tourism,Counts,30,2014,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,20928,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,57,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,All other industries,Maori Tourism,Counts,66,2014,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,All New Zealand Businesses,Counts,3030,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,39,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Tourism,Counts,78,2014,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,All New Zealand Businesses,Counts,18537,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,Maori Small to Medium Enterprises,Counts,42,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,All New Zealand Businesses,Counts,5229,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,Maori Small to Medium Enterprises,Counts,24,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,432,2014,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,6,2014,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,All New Zealand Businesses,Counts,2655,2014,1
